,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
263,Dingle,100,PH,1571632288,79,11.0,122.67,83.41,9.06
264,Tiarei,75,PF,1571632290,78,-17.53,-149.33,82.0,6.93
265,Brekstad,75,NO,1571632291,86,63.69,9.67,44.01,4.7
266,Sinnamary,3,GF,1571632292,80,5.38,-52.96,80.98,11.34
267,Kaputa,83,ZM,1571632294,68,-8.47,29.66,75.55,2.33
268,Kuala Terengganu,75,MY,1571632295,84,5.33,103.14,86.0,3.36
269,Calama,0,CL,1571632296,28,-22.46,-68.93,50.0,16.11
270,Homer,90,US,1571632298,87,59.64,-151.54,43.0,16.08
271,Stoughton,75,CA,1571632299,80,49.68,-103.03,30.2,5.82
272,Salalah,30,OM,1571632300,31,17.01,54.1,87.73,8.79
273,Luderitz,0,NA,1571632302,75,-26.65,15.16,58.34,22.84
274,Ballina,100,IE,1571632303,88,54.11,-9.15,48.0,4.47
275,Sao Felix do Xingu,29,BR,1571632304,95,-6.64,-51.99,70.44,0.27
276,Tomatlan,100,MX,1571632306,81,19.93,-105.25,75.71,3.78
277,Ingham,56,AU,1571632307,62,-18.65,146.16,78.27,8.05
278,Luis Correia,53,BR,1571632308,87,-2.88,-41.67,75.44,3.49
279,Porto Novo,75,BR,1571632310,67,-23.68,-45.44,62.6,18.34
280,Basco,20,US,1571632311,87,40.33,-91.2,57.0,9.17
281,Aden,78,YE,1571632312,49,12.79,45.03,87.01,12.55
282,Anshun,100,CN,1571632314,95,26.25,105.93,59.02,4.99
283,Escarcega,20,MX,1571632315,91,18.61,-90.75,76.47,5.93
284,Ambanja,75,MG,1571632317,78,-13.68,48.45,78.8,6.49
285,Maine-Soroa,95,NE,1571632318,43,13.21,12.02,86.42,13.42
286,Darab,5,IR,1571632319,39,28.75,54.55,66.4,5.28
287,Nantucket,75,US,1571632321,93,41.28,-70.1,55.99,8.05
288,Praia da Vitoria,40,PT,1571632322,72,38.73,-27.07,62.6,9.93
289,Voskresenskoye,100,RU,1571632323,94,56.84,45.43,52.06,8.03
290,Miracema do Tocantins,96,BR,1571632325,88,-9.56,-48.4,74.67,2.42
291,Lae,20,PG,1571632326,43,-6.72,146.98,91.4,12.75
292,Kawalu,23,ID,1571632327,40,-7.38,108.21,88.17,9.86
293,Sitka,42,US,1571632329,44,37.17,-99.65,52.0,15.99
294,Yeppoon,40,AU,1571632330,42,-23.13,150.74,82.4,14.99
295,Ruidoso,1,US,1571632331,26,33.33,-105.67,64.99,5.82
296,Porto Feliz,0,BR,1571632332,72,-23.21,-47.52,62.01,14.99
297,Dhrol,94,IN,1571632334,83,22.57,70.42,82.99,5.82
298,Lindi,75,TZ,1571632335,94,-10.0,39.71,75.2,5.82
299,Lagoa,0,PT,1571632337,87,37.14,-8.45,54.0,7.27
300,Aras,0,ES,1571632338,93,42.56,-2.36,45.0,1.12
301,Cayenne,32,GF,1571632339,94,4.94,-52.33,75.2,3.49
302,Cao Bang,75,VN,1571632341,68,22.67,106.25,77.74,4.25
303,Saint-Pierre,90,FR,1571632342,81,48.95,4.24,57.2,23.04
304,Yabrud,10,SY,1571632343,87,33.97,36.66,53.6,3.36
305,Kahului,40,US,1571632345,62,20.89,-156.47,84.2,5.82
306,San Cristobal,58,HN,1571632346,94,14.68,-86.92,65.54,2.93
307,Wukari,99,NG,1571632347,92,7.87,9.78,72.67,3.53
308,Les Cayes,57,HT,1571632349,74,18.19,-73.75,82.8,9.15
309,Bouca,100,CF,1571632350,97,6.51,18.28,70.83,2.21
310,Port Alfred,81,ZA,1571632352,89,-33.59,26.89,60.01,7.0
311,Turki,62,RU,1571632353,80,51.98,43.27,52.67,10.36
312,Sistranda,75,NO,1571632354,86,63.73,8.83,44.01,4.7
313,Viedma,99,AR,1571632356,48,-40.81,-62.99,63.2,34.27
314,Susuman,5,RU,1571632357,91,62.78,148.15,7.98,1.36
315,San Jeronimo,99,PE,1571632358,91,-13.65,-73.37,48.98,1.12
316,Raduzhnyy,100,RU,1571632360,88,62.1,77.47,24.77,17.69
317,Vardo,90,US,1571632361,87,39.62,-77.74,54.0,5.82
318,Panguna,58,PG,1571632362,65,-6.32,155.48,85.0,2.1
319,Port Blair,75,IN,1571632364,94,11.67,92.75,77.0,4.7
320,Goure,23,NE,1571632365,37,13.98,10.27,80.01,8.39
321,Karatuzskoye,6,RU,1571632366,48,53.61,92.87,27.27,9.84
322,Pozo Colorado,97,PY,1571632368,78,-23.49,-58.8,67.77,9.33
323,Williams Lake,75,CA,1571632369,93,52.13,-122.14,35.6,6.93
324,La Primavera,0,AR,1571632370,54,-32.92,-68.67,59.0,5.82
325,San Juan,0,AR,1571632372,37,-31.54,-68.53,51.09,2.15
326,Marystown,41,CA,1571632373,2,47.17,-55.16,46.99,4.0
327,Astana,75,KZ,1571632374,73,51.13,71.43,23.0,6.71
328,Vanavara,99,RU,1571632376,75,60.35,102.28,24.64,5.14
329,Guadalupe Victoria,100,MX,1571632377,91,21.68,-105.33,76.11,15.88
330,Xihe,100,CN,1571632378,75,34.02,105.29,52.44,5.79
331,Coihaique,0,CL,1571632380,93,-45.58,-72.07,39.2,2.24
332,Giresun,75,TR,1571632381,93,40.91,38.39,62.6,4.7
333,Imeni Poliny Osipenko,100,RU,1571632382,82,52.42,136.49,43.22,4.25
334,Tolaga Bay,3,NZ,1571632384,65,-38.37,178.3,57.44,6.6
335,Petatlan,74,MX,1571632385,80,17.52,-101.27,80.39,6.8
336,Wajima,75,JP,1571632387,77,37.4,136.9,62.6,12.75
337,Goderich,36,CA,1571632388,86,43.74,-81.71,45.0,10.04
338,Qasigiannguit,46,GL,1571632389,62,68.82,-51.19,19.4,2.24
339,Kurchum,0,KZ,1571632391,51,48.57,83.65,29.72,12.35
340,Bubaque,91,GW,1571632392,84,11.28,-15.83,81.24,8.84
341,Lasa,20,CY,1571632393,63,34.92,32.53,66.2,8.05
342,Misasi,20,TZ,1571632395,88,-3.01,33.09,69.8,11.41
343,Nouadhibou,59,MR,1571632396,88,20.93,-17.03,68.0,14.99
344,Port Hedland,20,AU,1571632397,16,-20.31,118.58,104.0,12.75
345,Erdenet,100,MN,1571632399,90,49.03,104.04,31.27,5.79
346,Manzanillo,100,MX,1571632400,80,19.05,-104.32,78.73,3.42
347,Siocon,77,PH,1571632401,61,11.03,124.04,88.2,1.72
348,Pacific Grove,1,US,1571632403,63,36.62,-121.92,62.01,4.7
349,Amapa,40,HN,1571632404,83,15.09,-87.97,82.4,4.7
350,Missoula,90,US,1571632405,60,46.87,-114.0,41.0,3.36
351,Ninh Binh,66,VN,1571632407,58,20.25,105.97,84.24,4.7
352,Tautira,75,PF,1571632408,78,-17.73,-149.15,82.0,6.93
353,Jequitinhonha,100,BR,1571632409,95,-16.43,-41.0,68.2,2.46
354,Mount Gambier,0,AU,1571632412,59,-37.83,140.78,62.6,8.05
355,Vernon,90,CA,1571632413,100,50.27,-119.27,39.99,1.66
356,Kochi,90,IN,1571632415,94,9.96,76.25,75.2,9.17
357,Walvis Bay,90,NA,1571632416,93,-22.95,14.51,60.01,10.29
358,Morondava,18,MG,1571632417,75,-20.3,44.28,78.77,4.47
359,Bud,40,NO,1571632419,86,62.91,6.91,41.0,6.93
360,Souillac,90,FR,1571632420,100,45.6,-0.6,48.0,3.36
361,Beinamar,100,TD,1571632421,96,8.67,15.38,70.33,4.34
362,Helong,0,CN,1571632423,20,25.94,116.13,82.44,5.19
363,Machico,40,PT,1571632424,59,32.7,-16.77,66.2,5.82
364,Lavrentiya,100,RU,1571632425,97,65.58,-170.99,24.75,5.93
365,Vysokogornyy,79,RU,1571632427,69,50.1,139.13,47.22,7.29
366,Palembang,75,ID,1571632428,55,-2.99,104.76,89.6,11.41
367,Sovetskiy,100,RU,1571632429,98,56.76,48.47,49.56,9.82
368,Tralee,90,US,1571632430,100,37.56,-81.4,57.2,3.04
369,Blyth,40,GB,1571632432,100,55.12,-1.5,48.99,8.05
370,Hagerstown,90,US,1571632433,87,39.64,-77.72,54.0,5.82
371,Verkhnyaya Inta,3,RU,1571632434,89,65.99,60.32,21.01,8.16
372,Zhireken,99,RU,1571632436,74,52.82,117.29,27.83,12.95
373,Iguguno,22,TZ,1571632437,39,-4.57,34.63,76.74,11.99
374,Eydhafushi,100,MV,1571632438,85,5.1,73.07,78.66,10.33
375,Jawar,95,IQ,1571632440,33,32.75,45.21,82.05,7.16
376,Saint-Francois,75,FR,1571632441,93,46.42,3.91,53.6,3.27
377,Guerrero Negro,0,MX,1571632443,82,27.97,-114.04,67.68,10.22
378,Samarai,93,PG,1571632444,83,-10.62,150.67,78.34,7.45
379,Smithers,90,CA,1571632446,93,54.78,-127.17,37.4,3.36
380,Halifax,40,CA,1571632447,81,44.65,-63.58,43.0,3.36
381,Vadso,31,NO,1571632448,85,70.07,29.75,21.2,26.4
382,Petropavlovka,100,RU,1571632450,73,50.61,105.32,27.81,5.1
383,Ahuimanu,75,US,1571632451,69,21.44,-157.84,82.4,4.7
384,Atar,0,MR,1571632452,35,20.52,-13.05,77.56,7.74
385,Miraflores,0,PE,1571632454,43,-16.39,-71.52,50.0,2.24
386,Westport,75,US,1571632455,81,41.14,-73.36,54.0,10.29
387,Ahipara,26,NZ,1571632456,74,-35.17,173.16,58.75,18.66
388,Richards Bay,73,ZA,1571632458,79,-28.77,32.06,70.71,13.96
389,Vorukh,79,KG,1571632459,25,39.85,70.57,59.89,6.2
390,Srivardhan,100,IN,1571632460,79,18.03,73.02,79.15,7.56
391,Kilindoni,0,TZ,1571632462,76,-7.91,39.67,80.28,8.52
392,Mount Vernon,90,US,1571632463,93,38.73,-77.1,55.4,5.93
393,Southbridge,90,US,1571632464,87,42.08,-72.03,52.0,5.82
394,Santa Cruz,33,BR,1571632466,93,-6.22,-36.02,66.82,3.53
395,Vila Velha,75,BR,1571632467,74,-3.71,-38.6,79.0,10.29
396,Boo,93,NG,1571632468,93,7.44,8.9,72.27,2.95
397,Moron,74,HT,1571632470,79,18.56,-74.26,79.56,3.87
398,Tongchuan,87,CN,1571632471,93,34.9,108.95,55.4,6.71
399,Qaqortoq,0,GL,1571632472,19,60.72,-46.03,48.2,20.8
400,Fayaoue,0,NC,1571632474,79,-20.65,166.53,75.94,12.64
401,Bilibino,0,RU,1571632475,87,68.06,166.44,-1.68,2.3
402,Brae,91,GB,1571632476,70,60.4,-1.35,46.4,10.29
403,Hobyo,76,SO,1571632478,64,5.35,48.53,83.27,3.78
404,Flinders,0,AU,1571632479,43,-34.58,150.85,73.99,10.29
405,Birjand,0,IR,1571632481,15,32.86,59.22,60.8,16.11
406,San Luis,0,AR,1571632482,44,-33.3,-66.34,58.38,4.03
407,Sretensk,100,RU,1571632483,70,52.24,117.7,29.16,17.09
408,Venado Tuerto,96,AR,1571632485,97,-33.75,-61.97,55.99,5.55
409,Alyangula,88,AU,1571632486,21,-13.85,136.42,95.0,13.87
410,Mitsamiouli,20,KM,1571632487,74,-11.38,43.28,78.8,3.36
411,Emba,20,CY,1571632489,63,34.81,32.42,66.2,8.05
412,Haines Junction,0,CA,1571632490,87,60.75,-137.51,19.8,2.06
413,Murgab,90,TM,1571632492,43,37.5,61.97,55.4,0.56
414,Udgir,100,IN,1571632493,90,18.39,77.12,72.07,8.86
415,Kaeo,0,NZ,1571632494,56,-35.1,173.78,63.0,17.0
416,Garowe,92,SO,1571632496,61,8.41,48.48,78.73,5.46
417,Axim,91,GH,1571632497,87,4.87,-2.24,77.31,6.89
418,Kamaishi,75,JP,1571632498,63,39.28,141.86,64.4,2.24
419,Kutum,49,SD,1571632500,37,14.2,24.66,79.18,8.57
420,Moses Lake,1,US,1571632501,81,47.13,-119.28,46.99,6.93
421,Tarakan,34,ID,1571632503,62,3.3,117.63,88.08,10.8
422,Ca Mau,100,VN,1571632504,80,9.18,105.15,84.87,10.83
423,Trairi,100,BR,1571632505,81,-3.28,-39.27,75.03,6.64
424,Sogne,75,NO,1571632506,100,58.08,7.82,46.99,4.7
425,Buncrana,94,GB,1571632508,60,55.14,-7.45,50.19,8.57
426,Basavakalyana,100,IN,1571632509,94,17.88,76.95,69.95,10.54
427,Poso,5,ID,1571632511,45,-1.4,120.75,77.85,6.33
428,Kabanjahe,89,ID,1571632512,69,3.1,98.49,84.04,3.69
429,Vorozhba,5,UA,1571632513,70,51.17,34.23,52.2,8.77
430,Sioux Lookout,90,CA,1571632515,86,50.1,-91.92,46.4,2.24
431,Galbshtadt,0,RU,1571632516,52,53.23,78.98,28.39,5.32
432,Mecca,0,SA,1571632517,45,21.43,39.83,87.64,2.42
433,Santo Tomas,40,PH,1571632519,62,7.53,125.62,89.6,5.82
434,Yibin,100,CN,1571632520,90,28.77,104.64,63.56,4.7
435,Whitefish,90,US,1571632521,98,48.41,-114.33,39.2,4.7
436,Honiara,40,SB,1571632523,62,-9.43,159.96,87.8,8.05
437,Beihai,0,CN,1571632524,68,38.95,121.19,68.0,6.71
438,Saint-Augustin,20,CA,1571632525,100,45.63,-73.98,41.0,2.24
439,Jiaocheng,0,CN,1571632527,22,24.68,116.14,80.7,3.78
440,Gwadar,0,PK,1571632528,64,25.12,62.33,84.35,1.07
441,Imbituba,75,BR,1571632529,72,-28.24,-48.67,64.4,5.82
442,Spring Valley,90,US,1571632531,93,41.33,-89.2,54.0,6.93
443,Mabaruma,44,GY,1571632532,99,8.2,-59.78,72.63,0.29
444,Longido,39,TZ,1571632533,65,-2.73,36.7,68.04,5.59
445,Ise,75,JP,1571632535,68,34.5,136.72,69.8,2.24
446,Alekseyevsk,100,RU,1571632536,52,57.84,108.35,27.58,3.98
447,Palmer,0,AU,1571632537,40,-34.85,139.16,81.0,10.29
448,Puerto Narino,40,CO,1571632539,100,-3.77,-70.38,75.2,4.07
449,Progreso,0,UY,1571632540,76,-34.68,-56.22,59.0,8.05
450,Along,100,IN,1571632541,97,28.17,94.8,53.98,1.48
451,Jucas,32,BR,1571632543,85,-6.53,-39.53,71.46,7.2
452,Udachnyy,0,RU,1571632544,92,66.42,112.4,8.6,2.24
453,Sterlibashevo,96,RU,1571632546,61,53.44,55.26,35.16,14.09
454,Mansa,78,IN,1571632547,50,23.43,72.66,85.54,9.35
455,Kariba,0,ZW,1571632548,34,-16.53,28.78,83.5,8.32
456,Abha,0,SA,1571632550,33,18.22,42.5,59.0,10.6
457,Rio Grande,100,BR,1571632551,86,-32.03,-52.1,56.43,4.18
458,Baykit,98,RU,1571632553,62,61.68,96.39,21.26,4.83
459,Port Arthur,40,US,1571632554,94,29.9,-93.93,80.6,6.93
460,Borogontsy,77,RU,1571632556,90,62.67,131.17,29.92,3.49
461,Strezhevoy,0,RU,1571632557,73,60.73,77.6,23.0,13.42
462,Salinopolis,100,BR,1571632558,81,-0.61,-47.36,81.04,12.57
463,Lao Cai,77,VN,1571632560,73,22.48,103.95,72.24,4.09
464,Mirnyy,100,RU,1571632561,89,56.57,36.46,53.26,12.24
465,Nagato,40,JP,1571632562,53,34.35,131.14,72.0,6.93
466,Igrim,98,RU,1571632564,91,63.19,64.42,32.6,1.07
467,Keti Bandar,82,PK,1571632565,62,24.14,67.45,85.39,4.83
468,Lichinga,75,MZ,1571632566,82,-13.3,35.25,64.4,6.93
469,Bambanglipuro,12,ID,1571632568,85,-7.95,110.28,78.41,23.91
470,Cartaya,0,ES,1571632569,72,37.28,-7.16,52.0,5.99
471,Diffa,100,NE,1571632570,50,13.32,12.61,85.83,13.31
472,Cherskiy,3,RU,1571632572,95,68.75,161.3,1.26,0.4
473,Egvekinot,100,RU,1571632574,85,66.32,-179.17,14.67,12.48
474,Shingu,75,JP,1571632575,100,33.72,135.99,68.0,3.36
475,Abalak,90,NE,1571632576,39,15.46,6.28,83.43,1.59
476,Cross Lanes,0,GB,1571632577,93,50.05,-5.22,53.01,8.05
477,Jacareacanga,70,BR,1571632579,96,-6.22,-57.76,71.79,2.75
478,Aykhal,0,RU,1571632580,92,65.95,111.51,8.6,2.24
479,Perth,0,AU,1571632581,49,-31.95,115.86,75.99,10.29
480,Chistoye,0,RU,1571632583,93,56.54,43.0,50.0,11.18
481,Mananjary,18,MG,1571632584,39,-19.16,46.8,80.07,3.13
482,Salgado,40,BR,1571632585,78,-11.03,-37.48,78.8,11.41
483,Pulivendla,75,IN,1571632587,74,14.42,78.23,86.0,4.59
484,Japura,89,ID,1571632589,46,-0.42,102.29,90.9,4.14
485,Newport,90,GB,1571632590,93,51.59,-3.0,50.0,11.41
486,Mongomo,56,GA,1571632591,97,1.63,11.31,66.13,1.61
487,Shakawe,22,BW,1571632592,12,-18.36,21.84,82.84,4.97
488,Broome,100,GB,1571632594,87,52.47,1.45,55.0,11.41
489,Ust-Tsilma,0,RU,1571632595,72,65.44,52.15,28.06,5.26
490,Seoul,1,KR,1571632596,46,37.57,126.98,73.4,1.12
491,Labuhan,78,ID,1571632598,45,-2.54,115.51,93.75,2.51
492,Hammerfest,75,NO,1571632599,69,70.66,23.68,35.6,25.28
493,Wladyslawowo,84,PL,1571632600,100,54.79,18.4,53.01,2.24
494,Visby,20,SE,1571632602,100,57.64,18.3,48.99,3.36
495,Aitape,15,PG,1571632603,62,-3.15,142.36,86.44,7.87
496,Marquette,1,US,1571632604,81,46.54,-87.4,46.99,4.7
497,Torbat-e Jam,86,IR,1571632606,20,35.24,60.63,61.65,8.14
498,Sena Madureira,69,BR,1571632607,92,-9.07,-68.66,71.46,0.98
499,Sao Joao da Barra,99,BR,1571632608,78,-21.64,-41.05,64.28,3.44
500,Shimoda,75,JP,1571632610,77,34.7,138.93,69.8,23.04
501,Bhavnagar,100,IN,1571632611,49,21.77,72.14,85.7,13.69
502,Naranjal,90,PY,1571632612,100,-25.97,-55.19,71.6,3.36
503,Carnduff,100,CA,1571632614,87,49.17,-101.8,28.99,1.99
504,Kieta,59,PG,1571632615,70,-6.22,155.63,84.42,8.81
505,Port Macquarie,42,AU,1571632616,37,-31.43,152.91,73.99,12.75
506,Sumbe,14,AO,1571632618,87,-11.2,13.84,74.13,7.31
507,Muravlenko,100,RU,1571632619,90,63.79,74.5,27.87,8.72
508,Roald,94,NO,1571632620,87,62.58,6.12,42.8,4.7
509,Bernalillo,1,US,1571632622,17,35.3,-106.55,48.2,14.99
510,Toora-Khem,100,RU,1571632623,73,52.47,96.11,26.21,8.05
511,Buchanan,40,LR,1571632624,94,5.88,-10.05,77.0,1.19
512,Louis Trichardt,0,ZA,1571632626,20,-23.04,29.91,83.49,1.28
513,Road Town,20,VG,1571632627,74,18.42,-64.62,82.4,3.36
514,Nemuro,20,JP,1571632628,55,43.32,145.57,60.8,4.7
515,Konstantynow Lodzki,0,PL,1571632630,93,51.75,19.33,52.0,4.7
516,Madimba,40,CM,1571632631,100,4.42,9.93,75.2,1.12
517,Isiro,100,CD,1571632632,94,2.77,27.62,71.26,1.32
518,Omsukchan,95,RU,1571632634,95,62.53,155.8,9.2,3.94
519,Jizan,20,SA,1571632635,79,16.89,42.56,84.2,3.36
520,Conceicao da Barra,99,BR,1571632636,75,-18.59,-39.73,71.26,5.21
521,Ellington,90,US,1571632638,87,41.9,-72.47,52.0,4.7
522,Sobolevo,100,RU,1571632639,90,54.43,31.9,51.99,9.33
523,Katobu,0,ID,1571632640,32,-4.94,122.53,94.54,3.65
524,San Angelo,75,US,1571632642,44,31.46,-100.44,80.6,12.75
525,Miramar,75,CR,1571632643,94,10.09,-84.73,73.0,3.36
526,Beisfjord,90,NO,1571632644,96,68.38,17.6,33.8,11.41
527,Poya,10,NC,1571632646,88,-21.35,165.16,72.78,20.2
